Level,Runtime (s),C (exploration constant),k (progressive widening constant),alpha (progressive widening exponent),delta (visible area distance),theta (shadow distance),beta (guard distance),gamma (kernel distance),tau (kernel decay rate),top_k (kernels scored),eta (depth bonus),lambda (rollout weight),phi (rollout depth),rollout_ratio,visible node penalty,visible edge penalty,brute_force_moves,max_kernel_moves,path_cache_hits,num_path_queries,path_cache_hit_ratio,tt_hits,tt_queries,tt_hit_ratio,player_start_pos,visits_timesteps_shadow,visits_total_timesteps,visits_shadow_pct,score_timesteps_shadow,score_total_timesteps,score_shadow_pct,back_timesteps_shadow,back_total_timesteps,back_shadow_pct
mgs_level.json,159.331,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,7,False,-1,0,False,inf,837,6916,12.1,323,1281,25.21,"(18.6, 10.3)",25,36,69.44,27,36,75.0,24,36,66.67
mgs_level.json,225.908,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,7,False,-1,0,False,inf,1179,10399,11.34,410,1703,24.08,"(13.6, 10.6)",19,36,52.78,19,36,52.78,19,36,52.78
mgs_level.json,60.0,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,7,False,-1,0,False,inf,346,2435,14.21,95,441,21.54,"(1.5, 9.5)",23,36,63.89,23,36,63.89,23,36,63.89
mgs_level.json,60.232,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,7,False,-1,0,False,inf,221,2576,8.58,76,480,15.83,"(7.0, 8.5)",22,36,61.11,21,36,58.33,21,36,58.33
mgs_level.json,114.721,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,7,False,-1,0,False,inf,382,2992,12.77,76,518,14.67,"(9.5, 8.5)",23,36,63.89,23,36,63.89,23,36,63.89
mgs_level.json,221.388,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,7,False,-1,0,False,inf,826,9387,8.8,428,1731,24.73,"(13.0, 7.0)",18,36,50.0,5,13,38.46,18,36,50.0
mgs_level.json,98.141,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,7,False,-1,0,False,inf,150,3640,4.12,134,723,18.53,"(6.5, 5.0)",28,36,77.78,29,36,80.56,29,36,80.56
mgs_level.json,129.338,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,7,False,-1,0,False,inf,678,5294,12.81,101,689,14.66,"(4.0, 2.0)",14,36,38.89,11,36,30.56,11,36,30.56
mgs_level.json,113.217,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,7,False,-1,0,False,inf,298,4710,6.33,154,853,18.05,"(8.0, 2.0)",30,36,83.33,14,20,70.0,30,36,83.33
mgs_level.json,85.729,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,7,False,-1,0,False,inf,390,3852,10.12,83,618,13.43,"(13.0, 2.5)",22,36,61.11,23,36,63.89,23,36,63.89
