Level,Runtime (s),C (exploration constant),k (progressive widening constant),alpha (progressive widening exponent),delta (visible area distance),theta (shadow distance),beta (guard distance),gamma (kernel distance),tau (kernel decay rate),top_k (kernels scored),eta (depth bonus),lambda (rollout weight),phi (rollout depth),rollout_ratio,visible node penalty,brute_force_moves,path_cache_hits,num_path_queries,path_cache_hit_ratio,tt_hits,tt_queries,tt_hit_ratio,player_start_pos,visits_timesteps_shadow,visits_total_timesteps,visits_shadow_pct
dummy_level.json,60.0,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,3,0.0,2.0,7,False,-100,False,83,639,12.99,20,155,12.9,"(2.0, 2.0)",24,24,100.0
dummy_level.json,60.001,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,3,0.0,2.0,7,False,-100,False,19,220,8.64,4,50,8.0,"(2.0, 8.0)",16,24,66.67
dummy_level.json,60.0,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,3,0.0,2.0,7,False,-100,False,39,358,10.89,8,88,9.09,"(3.0, 3.0)",24,24,100.0
dummy_level.json,60.0,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,3,0.0,2.0,7,False,-100,False,24,319,7.52,4,74,5.41,"(3.0, 7.0)",24,24,100.0
dummy_level.json,60.0,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,3,0.0,2.0,7,False,-100,False,41,431,9.51,12,106,11.32,"(2.0, 5.0)",24,24,100.0
dummy_level.json,60.003,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,3,0.0,2.0,7,False,-100,False,28,368,7.61,7,86,8.14,"(3.0, 5.0)",24,24,100.0
