Level,Runtime (s),C (exploration constant),k (progressive widening constant),alpha (progressive widening exponent),delta (visible area distance),theta (shadow distance),beta (guard distance),gamma (kernel distance),tau (kernel decay rate),top_k (kernels scored),eta (depth bonus),lambda (rollout weight),phi (rollout depth),rollout_ratio,visible node penalty,brute_force_moves,path_cache_hits,num_path_queries,path_cache_hit_ratio,tt_hits,tt_queries,tt_hit_ratio,player_start_pos,visits_timesteps_shadow,visits_total_timesteps,visits_shadow_pct
mgs_level.json,60.019,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,4.0,7,False,-100,False,292,2887,10.11,115,519,22.16,"(18.6, 10.3)",35,36,97.22
mgs_level.json,60.041,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,4.0,7,False,-100,False,269,2864,9.39,84,481,17.46,"(13.6, 10.6)",34,36,94.44
mgs_level.json,60.182,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,4.0,7,False,-100,False,169,2848,5.93,75,540,13.89,"(1.5, 9.5)",36,36,100.0
mgs_level.json,84.542,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,4.0,7,False,-100,False,231,4048,5.71,193,894,21.59,"(7.0, 8.5)",36,36,100.0
mgs_level.json,60.062,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,4.0,7,False,-100,False,180,2934,6.13,105,559,18.78,"(9.5, 8.5)",36,36,100.0
mgs_level.json,60.047,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,4.0,7,False,-100,False,143,2894,4.94,107,616,17.37,"(13.0, 7.0)",33,36,91.67
mgs_level.json,104.749,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,4.0,7,False,-100,False,219,5092,4.3,224,1132,19.79,"(6.5, 5.0)",36,36,100.0
mgs_level.json,67.317,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,4.0,7,False,-100,False,138,3237,4.26,117,655,17.86,"(4.0, 2.0)",36,36,100.0
mgs_level.json,79.694,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,4.0,7,False,-100,False,166,3726,4.46,148,784,18.88,"(8.0, 2.0)",36,36,100.0
mgs_level.json,68.83,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,4.0,7,False,-100,False,190,3076,6.18,126,694,18.16,"(13.0, 2.5)",34,36,94.44
