Level,Runtime (s),C (exploration constant),k (progressive widening constant),alpha (progressive widening exponent),delta (visible area distance),theta (shadow distance),beta (guard distance),gamma (kernel distance),tau (kernel decay rate),top_k (kernels scored),eta (depth bonus),lambda (rollout weight),phi (rollout depth),rollout_ratio,visible node penalty,brute_force_moves,path_cache_hits,num_path_queries,path_cache_hit_ratio,tt_hits,tt_queries,tt_hit_ratio,player_start_pos,visits_timesteps_shadow,visits_total_timesteps,visits_shadow_pct
dummy_level.json,60.001,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,0.0,2.0,7,False,-100,True,51,1155,4.42,44,294,14.97,"(2.0, 2.0)",24,24,100.0
dummy_level.json,60.001,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,0.0,2.0,7,False,-100,True,70,839,8.34,25,196,12.76,"(2.0, 8.0)",14,24,58.33
dummy_level.json,60.0,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,0.0,2.0,7,False,-100,True,145,1447,10.02,74,383,19.32,"(3.0, 3.0)",24,24,100.0
dummy_level.json,60.001,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,0.0,2.0,7,False,-100,True,163,1532,10.64,151,488,30.94,"(3.0, 7.0)",24,24,100.0
dummy_level.json,60.0,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,0.0,2.0,7,False,-100,True,151,1735,8.7,174,557,31.24,"(2.0, 5.0)",24,24,100.0
dummy_level.json,60.0,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,0.0,2.0,7,False,-100,True,270,2095,12.89,220,690,31.88,"(3.0, 5.0)",24,24,100.0
