Level,Runtime (s),C (exploration constant),k (progressive widening constant),alpha (progressive widening exponent),delta (visible area distance),theta (shadow distance),beta (guard distance),gamma (kernel distance),tau (kernel decay rate),top_k (kernels scored),eta (depth bonus),lambda (rollout weight),phi (rollout depth),rollout_ratio,visible node penalty,brute_force_moves,path_cache_hits,num_path_queries,path_cache_hit_ratio,tt_hits,tt_queries,tt_hit_ratio,player_start_pos,visits_timesteps_shadow,visits_total_timesteps,visits_shadow_pct
3_feet_level_sparse.json,60.002,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,3,0.0,4.0,30,False,-10,False,10810,15215,71.05,1740,3703,46.99,"(6.75, 12.0)",62,67,92.54
3_feet_level_sparse.json,60.0,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,3,0.0,4.0,30,False,-10,False,8254,12833,64.32,2028,3794,53.45,"(8.5, 3.0)",66,67,98.51
3_feet_level_sparse.json,60.0,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,3,0.0,4.0,30,False,-10,False,8750,14591,59.97,1163,3397,34.24,"(10.5, 15.0)",67,67,100.0
3_feet_level_sparse.json,60.012,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,3,0.0,4.0,30,False,-10,False,9253,14536,63.66,1379,3567,38.66,"(13.5, 3.0)",63,67,94.03
3_feet_level_sparse.json,60.017,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,3,0.0,4.0,30,False,-10,False,7816,13484,57.96,1052,3149,33.41,"(10.5, 11.0)",67,67,100.0
3_feet_level_sparse.json,60.007,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,3,0.0,4.0,30,False,-10,False,8452,14175,59.63,1406,3527,39.86,"(15.5, 11.0)",67,67,100.0
3_feet_level_sparse.json,60.013,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,3,0.0,4.0,30,False,-10,False,8795,14725,59.73,1182,3426,34.5,"(10.5, 8.0)",67,67,100.0
3_feet_level_sparse.json,68.172,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,3,0.0,4.0,30,False,-10,False,10953,17233,63.56,1752,4342,40.35,"(15.5, 8.0)",67,67,100.0
