Total nodes in tree: 868, with max depth 32, and maximum allowed edges 5
Node breadth by depth:
  Depth 0: 1 node(s)
  Depth 1: 4 node(s)
  Depth 2: 10 node(s)
  Depth 3: 20 node(s)
  Depth 4: 31 node(s)
  Depth 5: 57 node(s)
  Depth 6: 53 node(s)
  Depth 7: 19 node(s)
  Depth 8: 20 node(s)
  Depth 9: 26 node(s)
  Depth 10: 36 node(s)
  Depth 11: 55 node(s)
  Depth 12: 74 node(s)
  Depth 13: 87 node(s)
  Depth 14: 111 node(s)
  Depth 15: 118 node(s)
  Depth 16: 46 node(s)
  Depth 17: 14 node(s)
  Depth 18: 4 node(s)
  Depth 19: 6 node(s)
  Depth 20: 10 node(s)
  Depth 21: 9 node(s)
  Depth 22: 6 node(s)
  Depth 23: 5 node(s)
  Depth 24: 7 node(s)
  Depth 25: 2 node(s)
  Depth 26: 3 node(s)
  Depth 27: 5 node(s)
  Depth 28: 9 node(s)
  Depth 29: 3 node(s)
  Depth 30: 3 node(s)
  Depth 31: 5 node(s)
  Depth 32: 10 node(s)
Took 31.951 to find the best path
