Level,Runtime (s),C (exploration constant),k (progressive widening constant),alpha (progressive widening exponent),delta (visible area distance),theta (shadow distance),beta (guard distance),gamma (kernel distance),tau (kernel decay rate),top_k (kernels scored),eta (depth bonus),lambda (rollout weight),phi (rollout depth),rollout_ratio,visible node penalty,brute_force_moves,path_cache_hits,num_path_queries,path_cache_hit_ratio,tt_hits,tt_queries,tt_hit_ratio,player_start_pos,visits_timesteps_shadow,visits_total_timesteps,visits_shadow_pct
dummy_level.json,60.0,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,0.0,2.0,15,False,-100,False,3,273,1.1,6,87,6.9,"(2.0, 2.0)",24,24,100.0
dummy_level.json,60.001,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,0.0,2.0,15,False,-100,False,2,147,1.36,5,46,10.87,"(2.0, 8.0)",16,24,66.67
dummy_level.json,60.0,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,0.0,2.0,15,False,-100,False,16,420,3.81,20,143,13.99,"(3.0, 3.0)",24,24,100.0
dummy_level.json,60.0,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,0.0,2.0,15,False,-100,False,11,313,3.51,8,99,8.08,"(3.0, 7.0)",24,24,100.0
dummy_level.json,60.0,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,0.0,2.0,15,False,-100,False,1,307,0.33,11,104,10.58,"(2.0, 5.0)",24,24,100.0
dummy_level.json,60.0,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,0.0,2.0,15,False,-100,False,2,253,0.79,4,79,5.06,"(3.0, 5.0)",24,24,100.0
