Total nodes in tree: 2927, with max depth 33
Node breadth by depth:
  Depth 0: 1 node(s)
  Depth 1: 3 node(s)
  Depth 2: 7 node(s)
  Depth 3: 12 node(s)
  Depth 4: 12 node(s)
  Depth 5: 21 node(s)
  Depth 6: 30 node(s)
  Depth 7: 41 node(s)
  Depth 8: 58 node(s)
  Depth 9: 90 node(s)
  Depth 10: 128 node(s)
  Depth 11: 156 node(s)
  Depth 12: 192 node(s)
  Depth 13: 209 node(s)
  Depth 14: 210 node(s)
  Depth 15: 221 node(s)
  Depth 16: 221 node(s)
  Depth 17: 191 node(s)
  Depth 18: 145 node(s)
  Depth 19: 124 node(s)
  Depth 20: 119 node(s)
  Depth 21: 105 node(s)
  Depth 22: 94 node(s)
  Depth 23: 94 node(s)
  Depth 24: 87 node(s)
  Depth 25: 83 node(s)
  Depth 26: 73 node(s)
  Depth 27: 65 node(s)
  Depth 28: 52 node(s)
  Depth 29: 33 node(s)
  Depth 30: 20 node(s)
  Depth 31: 12 node(s)
  Depth 32: 12 node(s)
  Depth 33: 7 node(s)
Took 60.000 to find the best path
