Level,Runtime (s),C (exploration constant),k (progressive widening constant),alpha (progressive widening exponent),delta (visible area distance),theta (shadow distance),beta (guard distance),gamma (kernel distance),tau (kernel decay rate),top_k (kernels scored),eta (depth bonus),lambda (rollout weight),phi (rollout depth),rollout_ratio,visible node penalty,visible edge penalty,brute_force_moves,max_kernel_moves,path_cache_hits,num_path_queries,path_cache_hit_ratio,tt_hits,tt_queries,tt_hit_ratio,player_start_pos,visits_timesteps_shadow,visits_total_timesteps,visits_shadow_pct,score_timesteps_shadow,score_total_timesteps,score_shadow_pct,back_timesteps_shadow,back_total_timesteps,back_shadow_pct
dummy_level.json,60.0,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,1,0.0,2.0,7,False,-1,0,False,inf,14,384,3.65,12,124,9.68,"(2.0, 2.0)",24,24,100.0,24,24,100.0,24,24,100.0
dummy_level.json,60.0,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,1,0.0,2.0,7,False,-1,0,False,inf,4,190,2.11,8,60,13.33,"(2.0, 8.0)",16,24,66.67,16,24,66.67,16,24,66.67
dummy_level.json,60.001,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,1,0.0,2.0,7,False,-1,0,False,inf,3,270,1.11,8,89,8.99,"(3.0, 3.0)",24,24,100.0,24,24,100.0,24,24,100.0
dummy_level.json,60.001,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,1,0.0,2.0,7,False,-1,0,False,inf,10,334,2.99,14,111,12.61,"(3.0, 7.0)",24,24,100.0,24,24,100.0,24,24,100.0
dummy_level.json,60.0,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,1,0.0,2.0,7,False,-1,0,False,inf,4,256,1.56,9,85,10.59,"(2.0, 5.0)",24,24,100.0,24,24,100.0,24,24,100.0
dummy_level.json,60.001,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,1,0.0,2.0,7,False,-1,0,False,inf,28,439,6.38,20,143,13.99,"(3.0, 5.0)",24,24,100.0,24,24,100.0,24,24,100.0
