Level,Runtime (s),C (exploration constant),k (progressive widening constant),alpha (progressive widening exponent),delta (visible area distance),theta (shadow distance),beta (guard distance),gamma (kernel distance),tau (kernel decay rate),top_k (kernels scored),eta (depth bonus),lambda (rollout weight),phi (rollout depth),rollout_ratio,visible node penalty,brute_force_moves,path_cache_hits,num_path_queries,path_cache_hit_ratio,tt_hits,tt_queries,tt_hit_ratio,player_start_pos,visits_timesteps_shadow,visits_total_timesteps,visits_shadow_pct,score_timesteps_shadow,score_total_timesteps,score_shadow_pct,back_timesteps_shadow,back_total_timesteps,back_shadow_pct
mgs_level.json,60.062,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,4.0,0.1,5,5.0,2.0,7,False,-100,False,564,2872,19.64,26,291,8.93,"(18.6, 10.3)",35,36,97.22,35,36,97.22,35,36,97.22
mgs_level.json,83.33,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,4.0,0.1,5,5.0,2.0,7,False,-100,False,653,4042,16.16,65,475,13.68,"(13.6, 10.6)",29,36,80.56,25,30,83.33,29,36,80.56
mgs_level.json,96.758,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,4.0,0.1,5,5.0,2.0,7,False,-100,False,872,4862,17.94,79,552,14.31,"(1.5, 9.5)",36,36,100.0,36,36,100.0,36,36,100.0
mgs_level.json,210.691,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,4.0,0.1,5,5.0,2.0,7,False,-100,False,1778,9776,18.19,284,1264,22.47,"(7.0, 8.5)",35,36,97.22,21,21,100.0,35,36,97.22
mgs_level.json,177.342,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,4.0,0.1,5,5.0,2.0,7,False,-100,False,1764,9103,19.38,243,1131,21.49,"(9.5, 8.5)",36,36,100.0,25,34,73.53,36,36,100.0
mgs_level.json,104.5,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,4.0,0.1,5,5.0,2.0,7,False,-100,False,1017,5915,17.19,130,707,18.39,"(13.0, 7.0)",31,36,86.11,31,36,86.11,31,36,86.11
mgs_level.json,141.924,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,4.0,0.1,5,5.0,2.0,7,False,-100,False,1393,8222,16.94,203,1034,19.63,"(6.5, 5.0)",36,36,100.0,35,35,100.0,36,36,100.0
mgs_level.json,99.591,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,4.0,0.1,5,5.0,2.0,7,False,-100,False,982,5711,17.19,137,703,19.49,"(4.0, 2.0)",36,36,100.0,30,30,100.0,36,36,100.0
mgs_level.json,137.501,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,4.0,0.1,5,5.0,2.0,7,False,-100,False,1340,7460,17.96,184,933,19.72,"(8.0, 2.0)",36,36,100.0,36,36,100.0,36,36,100.0
mgs_level.json,80.566,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,4.0,0.1,5,5.0,2.0,7,False,-100,False,621,3775,16.45,80,447,17.9,"(13.0, 2.5)",36,36,100.0,18,18,100.0,36,36,100.0
