Total nodes in tree: 2427, with max depth 48, and maximum allowed edges 5
Node breadth by depth:
  Depth 0: 1 node(s)
  Depth 1: 4 node(s)
  Depth 2: 14 node(s)
  Depth 3: 30 node(s)
  Depth 4: 50 node(s)
  Depth 5: 87 node(s)
  Depth 6: 144 node(s)
  Depth 7: 210 node(s)
  Depth 8: 255 node(s)
  Depth 9: 210 node(s)
  Depth 10: 151 node(s)
  Depth 11: 66 node(s)
  Depth 12: 30 node(s)
  Depth 13: 26 node(s)
  Depth 14: 26 node(s)
  Depth 15: 22 node(s)
  Depth 16: 21 node(s)
  Depth 17: 9 node(s)
  Depth 18: 4 node(s)
  Depth 19: 5 node(s)
  Depth 20: 8 node(s)
  Depth 21: 7 node(s)
  Depth 22: 8 node(s)
  Depth 23: 10 node(s)
  Depth 24: 8 node(s)
  Depth 25: 3 node(s)
  Depth 26: 4 node(s)
  Depth 27: 6 node(s)
  Depth 28: 10 node(s)
  Depth 29: 13 node(s)
  Depth 30: 21 node(s)
  Depth 31: 38 node(s)
  Depth 32: 61 node(s)
  Depth 33: 101 node(s)
  Depth 34: 136 node(s)
  Depth 35: 145 node(s)
  Depth 36: 128 node(s)
  Depth 37: 91 node(s)
  Depth 38: 51 node(s)
  Depth 39: 43 node(s)
  Depth 40: 36 node(s)
  Depth 41: 30 node(s)
  Depth 42: 26 node(s)
  Depth 43: 24 node(s)
  Depth 44: 18 node(s)
  Depth 45: 14 node(s)
  Depth 46: 10 node(s)
  Depth 47: 9 node(s)
  Depth 48: 4 node(s)
Took 60.008 to find the best path
