Total nodes in tree: 7218, with max depth 67, and maximum allowed edges 5
Node breadth by depth:
  Depth 0: 1 node(s)
  Depth 1: 4 node(s)
  Depth 2: 17 node(s)
  Depth 3: 19 node(s)
  Depth 4: 15 node(s)
  Depth 5: 12 node(s)
  Depth 6: 22 node(s)
  Depth 7: 61 node(s)
  Depth 8: 96 node(s)
  Depth 9: 173 node(s)
  Depth 10: 131 node(s)
  Depth 11: 38 node(s)
  Depth 12: 18 node(s)
  Depth 13: 25 node(s)
  Depth 14: 40 node(s)
  Depth 15: 53 node(s)
  Depth 16: 48 node(s)
  Depth 17: 19 node(s)
  Depth 18: 5 node(s)
  Depth 19: 5 node(s)
  Depth 20: 9 node(s)
  Depth 21: 10 node(s)
  Depth 22: 9 node(s)
  Depth 23: 11 node(s)
  Depth 24: 16 node(s)
  Depth 25: 34 node(s)
  Depth 26: 38 node(s)
  Depth 27: 55 node(s)
  Depth 28: 77 node(s)
  Depth 29: 118 node(s)
  Depth 30: 166 node(s)
  Depth 31: 223 node(s)
  Depth 32: 278 node(s)
  Depth 33: 317 node(s)
  Depth 34: 355 node(s)
  Depth 35: 379 node(s)
  Depth 36: 329 node(s)
  Depth 37: 298 node(s)
  Depth 38: 316 node(s)
  Depth 39: 325 node(s)
  Depth 40: 325 node(s)
  Depth 41: 277 node(s)
  Depth 42: 289 node(s)
  Depth 43: 288 node(s)
  Depth 44: 286 node(s)
  Depth 45: 240 node(s)
  Depth 46: 227 node(s)
  Depth 47: 209 node(s)
  Depth 48: 170 node(s)
  Depth 49: 151 node(s)
  Depth 50: 123 node(s)
  Depth 51: 110 node(s)
  Depth 52: 96 node(s)
  Depth 53: 86 node(s)
  Depth 54: 54 node(s)
  Depth 55: 38 node(s)
  Depth 56: 19 node(s)
  Depth 57: 18 node(s)
  Depth 58: 14 node(s)
  Depth 59: 10 node(s)
  Depth 60: 3 node(s)
  Depth 61: 3 node(s)
  Depth 62: 3 node(s)
  Depth 63: 2 node(s)
  Depth 64: 2 node(s)
  Depth 65: 4 node(s)
  Depth 66: 5 node(s)
  Depth 67: 2 node(s)
Took 127.043 to find the best path
