Level,Runtime (s),C (exploration constant),k (progressive widening constant),alpha (progressive widening exponent),delta (visible area distance),theta (shadow distance),beta (guard distance),gamma (kernel distance),tau (kernel decay rate),top_k (kernels scored),eta (depth bonus),lambda (rollout weight),phi (rollout depth),rollout_ratio,visible node penalty,visible edge penalty,brute_force_moves,max_kernel_moves,path_cache_hits,num_path_queries,path_cache_hit_ratio,tt_hits,tt_queries,tt_hit_ratio,player_start_pos,visits_timesteps_shadow,visits_total_timesteps,visits_shadow_pct,score_timesteps_shadow,score_total_timesteps,score_shadow_pct,back_timesteps_shadow,back_total_timesteps,back_shadow_pct
3_feet_level_sparse.json,60.014,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,4.0,30,False,-10,0,False,inf,9099,14041,64.8,2227,4670,47.69,"(6.75, 12.0)",62,67,92.54,62,67,92.54,62,67,92.54
3_feet_level_sparse.json,60.0,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,4.0,30,False,-10,0,False,inf,4892,9602,50.95,1409,3358,41.96,"(8.5, 3.0)",67,67,100.0,67,67,100.0,67,67,100.0
3_feet_level_sparse.json,60.004,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,4.0,30,False,-10,0,False,inf,4844,10219,47.4,1296,3584,36.16,"(10.5, 15.0)",67,67,100.0,67,67,100.0,67,67,100.0
3_feet_level_sparse.json,60.453,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,4.0,30,False,-10,0,False,inf,3997,8542,46.79,1141,3088,36.95,"(13.5, 3.0)",67,67,100.0,66,66,100.0,66,67,98.51
3_feet_level_sparse.json,60.022,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,4.0,30,False,-10,0,False,inf,3781,8914,42.42,937,3056,30.66,"(10.5, 11.0)",67,67,100.0,67,67,100.0,67,67,100.0
3_feet_level_sparse.json,63.093,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,4.0,30,False,-10,0,False,inf,4508,9481,47.55,1287,3394,37.92,"(15.5, 11.0)",67,67,100.0,43,43,100.0,67,67,100.0
3_feet_level_sparse.json,60.003,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,4.0,30,False,-10,0,False,inf,3270,7988,40.94,802,2658,30.17,"(10.5, 8.0)",67,67,100.0,67,67,100.0,66,67,98.51
3_feet_level_sparse.json,60.016,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,4.0,30,False,-10,0,False,inf,5290,10644,49.7,1599,3912,40.87,"(15.5, 8.0)",67,67,100.0,67,67,100.0,66,67,98.51
