Level,Runtime (s),C (exploration constant),k (progressive widening constant),alpha (progressive widening exponent),delta (visible area distance),theta (shadow distance),beta (guard distance),gamma (kernel distance),tau (kernel decay rate),top_k (kernels scored),eta (depth bonus),lambda (rollout weight),phi (rollout depth),rollout_ratio,visible node penalty,visible edge penalty,brute_force_moves,max_kernel_moves,path_cache_hits,num_path_queries,path_cache_hit_ratio,tt_hits,tt_queries,tt_hit_ratio,player_start_pos,visits_timesteps_shadow,visits_total_timesteps,visits_shadow_pct,score_timesteps_shadow,score_total_timesteps,score_shadow_pct,back_timesteps_shadow,back_total_timesteps,back_shadow_pct
mgs_level.json,60.15,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,5,5.0,2.0,7,False,-100,0,False,inf,702,2941,23.87,41,305,13.44,"(18.6, 10.3)",34,36,94.44,28,29,96.55,34,36,94.44
mgs_level.json,70.965,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,5,5.0,2.0,7,False,-100,0,False,inf,375,2768,13.55,52,336,15.48,"(13.6, 10.6)",31,36,86.11,31,36,86.11,31,36,86.11
mgs_level.json,64.632,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,5,5.0,2.0,7,False,-100,0,False,inf,482,3067,15.72,44,358,12.29,"(1.5, 9.5)",36,36,100.0,36,36,100.0,36,36,100.0
mgs_level.json,156.087,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,5,5.0,2.0,7,False,-100,0,False,inf,1498,7821,19.15,262,1069,24.51,"(7.0, 8.5)",36,36,100.0,36,36,100.0,36,36,100.0
mgs_level.json,116.709,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,5,5.0,2.0,7,False,-100,0,False,inf,844,4520,18.67,123,572,21.5,"(9.5, 8.5)",36,36,100.0,36,36,100.0,36,36,100.0
mgs_level.json,278.079,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,5,5.0,2.0,7,False,-100,0,False,inf,2023,10269,19.7,249,1235,20.16,"(13.0, 7.0)",32,36,88.89,23,32,71.88,33,36,91.67
mgs_level.json,151.289,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,5,5.0,2.0,7,False,-100,0,False,inf,964,5677,16.98,152,749,20.29,"(6.5, 5.0)",36,36,100.0,36,36,100.0,35,36,97.22
mgs_level.json,155.879,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,5,5.0,2.0,7,False,-100,0,False,inf,1430,7590,18.84,201,931,21.59,"(4.0, 2.0)",36,36,100.0,36,36,100.0,36,36,100.0
mgs_level.json,183.121,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,5,5.0,2.0,7,False,-100,0,False,inf,1855,10020,18.51,248,1225,20.24,"(8.0, 2.0)",36,36,100.0,36,36,100.0,36,36,100.0
mgs_level.json,93.846,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,5,5.0,2.0,7,False,-100,0,False,inf,722,4378,16.49,81,525,15.43,"(13.0, 2.5)",36,36,100.0,36,36,100.0,36,36,100.0
