Total nodes in tree: 2988, with max depth 33, and maximum allowed edges 5
Node breadth by depth:
  Depth 0: 1 node(s)
  Depth 1: 3 node(s)
  Depth 2: 8 node(s)
  Depth 3: 16 node(s)
  Depth 4: 22 node(s)
  Depth 5: 37 node(s)
  Depth 6: 59 node(s)
  Depth 7: 79 node(s)
  Depth 8: 112 node(s)
  Depth 9: 139 node(s)
  Depth 10: 165 node(s)
  Depth 11: 185 node(s)
  Depth 12: 202 node(s)
  Depth 13: 200 node(s)
  Depth 14: 189 node(s)
  Depth 15: 189 node(s)
  Depth 16: 171 node(s)
  Depth 17: 155 node(s)
  Depth 18: 127 node(s)
  Depth 19: 116 node(s)
  Depth 20: 103 node(s)
  Depth 21: 94 node(s)
  Depth 22: 100 node(s)
  Depth 23: 86 node(s)
  Depth 24: 66 node(s)
  Depth 25: 68 node(s)
  Depth 26: 69 node(s)
  Depth 27: 73 node(s)
  Depth 28: 53 node(s)
  Depth 29: 38 node(s)
  Depth 30: 24 node(s)
  Depth 31: 18 node(s)
  Depth 32: 19 node(s)
  Depth 33: 3 node(s)
Took 60.012 to find the best path
