Level,Runtime (s),C (exploration constant),k (progressive widening constant),alpha (progressive widening exponent),delta (visible area distance),theta (shadow distance),beta (guard distance),gamma (kernel distance),tau (kernel decay rate),top_k (kernels scored),eta (depth bonus),lambda (rollout weight),phi (rollout depth),rollout_ratio,visible node penalty,visible edge penalty,brute_force_moves,max_kernel_moves,path_cache_hits,num_path_queries,path_cache_hit_ratio,tt_hits,tt_queries,tt_hit_ratio,player_start_pos,visits_timesteps_shadow,visits_total_timesteps,visits_shadow_pct,score_timesteps_shadow,score_total_timesteps,score_shadow_pct,back_timesteps_shadow,back_total_timesteps,back_shadow_pct
3_feet_level_sparse.json,60.008,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,4.0,30,False,-100,0,False,inf,5182,9866,52.52,1259,3454,36.45,"(6.75, 12.0)",62,67,92.54,62,67,92.54,62,67,92.54
3_feet_level_sparse.json,60.0,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,4.0,30,False,-100,0,False,inf,4070,7447,54.65,1382,2900,47.66,"(8.5, 3.0)",66,67,98.51,66,67,98.51,66,67,98.51
3_feet_level_sparse.json,60.003,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,4.0,30,False,-100,0,False,inf,4505,8794,51.23,1268,3271,38.76,"(10.5, 15.0)",62,67,92.54,62,67,92.54,62,67,92.54
3_feet_level_sparse.json,80.78,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,4.0,30,False,-100,0,False,inf,7254,12295,59.0,1957,4569,42.83,"(13.5, 3.0)",65,67,97.01,61,64,95.31,67,67,100.0
3_feet_level_sparse.json,61.326,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,4.0,30,False,-100,0,False,inf,4387,8905,49.26,1140,3181,35.84,"(10.5, 11.0)",63,67,94.03,32,32,100.0,63,67,94.03
3_feet_level_sparse.json,60.007,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,4.0,30,False,-100,0,False,inf,5803,10495,55.29,1617,3924,41.21,"(15.5, 11.0)",63,67,94.03,43,43,100.0,63,67,94.03
3_feet_level_sparse.json,72.468,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,4.0,30,False,-100,0,False,inf,5012,9955,50.35,1288,3563,36.15,"(10.5, 8.0)",58,67,86.57,58,67,86.57,61,67,91.04
3_feet_level_sparse.json,60.957,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,4.0,30,False,-100,0,False,inf,4928,8961,54.99,1446,3413,42.37,"(15.5, 8.0)",63,67,94.03,63,67,94.03,63,67,94.03
