Level,Runtime (s),C (exploration constant),k (progressive widening constant),alpha (progressive widening exponent),delta (visible area distance),theta (shadow distance),beta (guard distance),gamma (kernel distance),tau (kernel decay rate),top_k (kernels scored),eta (depth bonus),lambda (rollout weight),phi (rollout depth),rollout_ratio,visible node penalty,brute_force_moves,path_cache_hits,num_path_queries,path_cache_hit_ratio,tt_hits,tt_queries,tt_hit_ratio,player_start_pos,visits_timesteps_shadow,visits_total_timesteps,visits_shadow_pct
3_feet_level_sparse.json,84.728,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,4.0,30,False,-10,True,5245,12914,40.61,1845,4956,37.23,"(6.75, 12.0)",63,67,94.03
3_feet_level_sparse.json,60.019,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,4.0,30,False,-10,True,5412,9699,55.8,2063,4027,51.23,"(8.5, 3.0)",66,67,98.51
3_feet_level_sparse.json,94.971,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,4.0,30,False,-10,True,5146,14718,34.96,1457,4738,30.75,"(10.5, 15.0)",67,67,100.0
3_feet_level_sparse.json,151.635,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,4.0,30,False,-10,True,10997,25300,43.47,4399,9838,44.71,"(13.5, 3.0)",62,67,92.54
3_feet_level_sparse.json,107.309,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,4.0,30,False,-10,True,6120,17065,35.86,2018,5856,34.46,"(10.5, 11.0)",66,67,98.51
3_feet_level_sparse.json,94.211,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,4.0,30,False,-10,True,6076,15098,40.24,2259,5696,39.66,"(15.5, 11.0)",62,67,92.54
3_feet_level_sparse.json,115.31,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,4.0,30,False,-10,True,6953,18863,36.86,2045,6206,32.95,"(10.5, 8.0)",66,67,98.51
3_feet_level_sparse.json,139.714,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,4.0,30,False,-10,True,8895,21955,40.51,3704,8542,43.36,"(15.5, 8.0)",67,67,100.0
