Level,Runtime (s),C (exploration constant),k (progressive widening constant),alpha (progressive widening exponent),delta (visible area distance),theta (shadow distance),beta (guard distance),gamma (kernel distance),tau (kernel decay rate),top_k (kernels scored),eta (depth bonus),lambda (rollout weight),phi (rollout depth),rollout_ratio,visible node penalty,brute_force_moves,path_cache_hits,num_path_queries,path_cache_hit_ratio,tt_hits,tt_queries,tt_hit_ratio,player_start_pos,visits_timesteps_shadow,visits_total_timesteps,visits_shadow_pct
dummy_level.json,60.0,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,0.0,1.0,7,False,-100,False,8,390,2.05,15,126,11.9,"(2.0, 2.0)",24,24,100.0
dummy_level.json,60.0,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,0.0,1.0,7,False,-100,False,0,161,0.0,2,48,4.17,"(2.0, 8.0)",16,24,66.67
dummy_level.json,60.001,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,0.0,1.0,7,False,-100,False,27,497,5.43,30,166,18.07,"(3.0, 3.0)",24,24,100.0
dummy_level.json,60.001,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,0.0,1.0,7,False,-100,False,27,529,5.1,39,179,21.79,"(3.0, 7.0)",24,24,100.0
dummy_level.json,60.0,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,0.0,1.0,7,False,-100,False,18,454,3.96,27,151,17.88,"(2.0, 5.0)",24,24,100.0
dummy_level.json,60.0,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,0.0,1.0,7,False,-100,False,12,461,2.6,18,147,12.24,"(3.0, 5.0)",24,24,100.0
