Level,Runtime (s),C (exploration constant),k (progressive widening constant),alpha (progressive widening exponent),delta (visible area distance),theta (shadow distance),beta (guard distance),gamma (kernel distance),tau (kernel decay rate),top_k (kernels scored),eta (depth bonus),lambda (rollout weight),phi (rollout depth),rollout_ratio,visible node penalty,visible edge penalty,brute_force_moves,max_kernel_moves,path_cache_hits,num_path_queries,path_cache_hit_ratio,tt_hits,tt_queries,tt_hit_ratio,player_start_pos,visits_timesteps_shadow,visits_total_timesteps,visits_shadow_pct,score_timesteps_shadow,score_total_timesteps,score_shadow_pct,back_timesteps_shadow,back_total_timesteps,back_shadow_pct
dummy_level.json,60.001,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,1,0.0,2.0,7,False,-100,0,False,inf,2,325,0.62,8,102,7.84,"(2.0, 2.0)",24,24,100.0,24,24,100.0,24,24,100.0
dummy_level.json,60.003,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,1,0.0,2.0,7,False,-100,0,False,inf,2,164,1.22,4,51,7.84,"(2.0, 8.0)",17,24,70.83,17,24,70.83,17,24,70.83
dummy_level.json,60.0,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,1,0.0,2.0,7,False,-100,0,False,inf,19,357,5.32,18,121,14.88,"(3.0, 3.0)",24,24,100.0,24,24,100.0,24,24,100.0
dummy_level.json,60.0,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,1,0.0,2.0,7,False,-100,0,False,inf,4,254,1.57,8,83,9.64,"(3.0, 7.0)",24,24,100.0,24,24,100.0,24,24,100.0
dummy_level.json,60.001,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,1,0.0,2.0,7,False,-100,0,False,inf,7,272,2.57,7,89,7.87,"(2.0, 5.0)",24,24,100.0,24,24,100.0,24,24,100.0
dummy_level.json,60.001,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,1,0.0,2.0,7,False,-100,0,False,inf,1,208,0.48,4,66,6.06,"(3.0, 5.0)",24,24,100.0,24,24,100.0,24,24,100.0
