Level,Runtime (s),C (exploration constant),k (progressive widening constant),alpha (progressive widening exponent),delta (visible area distance),theta (shadow distance),beta (guard distance),gamma (kernel distance),tau (kernel decay rate),top_k (kernels scored),eta (depth bonus),lambda (rollout weight),phi (rollout depth),rollout_ratio,visible node penalty,visible edge penalty,brute_force_moves,max_kernel_moves,path_cache_hits,num_path_queries,path_cache_hit_ratio,tt_hits,tt_queries,tt_hit_ratio,player_start_pos,visits_timesteps_shadow,visits_total_timesteps,visits_shadow_pct,score_timesteps_shadow,score_total_timesteps,score_shadow_pct,back_timesteps_shadow,back_total_timesteps,back_shadow_pct
3_feet_level_sparse.json,70.068,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,4.0,30,False,-1,0,False,inf,4747,10498,45.22,962,3024,31.81,"(6.75, 12.0)",37,67,55.22,33,63,52.38,37,67,55.22
3_feet_level_sparse.json,83.786,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,4.0,30,False,-1,0,False,inf,5101,10626,48.0,793,2892,27.42,"(8.5, 3.0)",40,67,59.7,38,67,56.72,42,67,62.69
3_feet_level_sparse.json,90.667,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,4.0,30,False,-1,0,False,inf,7454,13958,53.4,1397,4119,33.92,"(10.5, 15.0)",32,67,47.76,31,67,46.27,29,67,43.28
3_feet_level_sparse.json,86.071,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,4.0,30,False,-1,0,False,inf,4136,9177,45.07,990,2884,34.33,"(13.5, 3.0)",51,67,76.12,41,56,73.21,56,67,83.58
3_feet_level_sparse.json,82.729,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,4.0,30,False,-1,0,False,inf,7041,13893,50.68,1157,3830,30.21,"(10.5, 11.0)",36,67,53.73,22,53,41.51,36,67,53.73
3_feet_level_sparse.json,76.392,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,4.0,30,False,-1,0,False,inf,3939,9421,41.81,870,2837,30.67,"(15.5, 11.0)",52,67,77.61,37,49,75.51,52,67,77.61
3_feet_level_sparse.json,62.239,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,4.0,30,False,-1,0,False,inf,3581,7838,45.69,505,2118,23.84,"(10.5, 8.0)",44,67,65.67,34,57,59.65,49,67,73.13
3_feet_level_sparse.json,84.189,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,4.0,30,False,-1,0,False,inf,6299,13014,48.4,1221,3852,31.7,"(15.5, 8.0)",45,67,67.16,40,62,64.52,44,67,65.67
