Level,Runtime (s),C (exploration constant),k (progressive widening constant),alpha (progressive widening exponent),delta (visible area distance),theta (shadow distance),beta (guard distance),gamma (kernel distance),tau (kernel decay rate),top_k (kernels scored),eta (depth bonus),lambda (rollout weight),phi (rollout depth),rollout_ratio,visible node penalty,brute_force_moves,path_cache_hits,num_path_queries,path_cache_hit_ratio,tt_hits,tt_queries,tt_hit_ratio,player_start_pos,visits_timesteps_shadow,visits_total_timesteps,visits_shadow_pct
3_feet_level_sparse.json,60.0,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,2.0,30,False,-10,False,6942,11586,59.92,1680,3835,43.81,"(6.75, 12.0)",63,67,94.03
3_feet_level_sparse.json,60.0,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,2.0,30,False,-10,False,4703,8762,53.67,2118,3690,57.4,"(8.5, 3.0)",66,67,98.51
3_feet_level_sparse.json,61.953,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,2.0,30,False,-10,False,6565,12426,52.83,1720,4419,38.92,"(10.5, 15.0)",63,67,94.03
3_feet_level_sparse.json,62.328,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,2.0,30,False,-10,False,7684,13126,58.54,1996,4660,42.83,"(13.5, 3.0)",61,67,91.04
3_feet_level_sparse.json,69.834,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,2.0,30,False,-10,False,7446,14337,51.94,1834,5061,36.24,"(10.5, 11.0)",63,67,94.03
3_feet_level_sparse.json,61.895,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,2.0,30,False,-10,False,7085,12712,55.73,2100,4749,44.22,"(15.5, 11.0)",62,67,92.54
3_feet_level_sparse.json,64.136,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,2.0,30,False,-10,False,6381,12153,52.51,1657,4301,38.53,"(10.5, 8.0)",65,67,97.01
3_feet_level_sparse.json,60.002,1.4142135623730951,1.0,0.3,0.0,5.0,0.0,1.0,0.1,1,0.0,2.0,30,False,-10,False,7582,12971,58.45,2192,4786,45.8,"(15.5, 8.0)",63,67,94.03
