Level,Runtime (s),C (exploration constant),k (progressive widening constant),alpha (progressive widening exponent),delta (visible area distance),theta (shadow distance),beta (guard distance),gamma (kernel distance),tau (kernel decay rate),top_k (kernels scored),eta (depth bonus),lambda (rollout weight),phi (rollout depth),rollout_ratio,visible node penalty,visible edge penalty,brute_force_moves,max_kernel_moves,path_cache_hits,num_path_queries,path_cache_hit_ratio,tt_hits,tt_queries,tt_hit_ratio,player_start_pos,visits_timesteps_shadow,visits_total_timesteps,visits_shadow_pct,score_timesteps_shadow,score_total_timesteps,score_shadow_pct,back_timesteps_shadow,back_total_timesteps,back_shadow_pct
mgs_level.json,60.066,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,7,False,-10,0,False,inf,168,1792,9.38,86,364,23.63,"(18.6, 10.3)",35,36,97.22,35,36,97.22,35,36,97.22
mgs_level.json,82.438,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,7,False,-10,0,False,inf,159,3191,4.98,101,639,15.81,"(13.6, 10.6)",31,36,86.11,31,36,86.11,31,36,86.11
mgs_level.json,78.219,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,7,False,-10,0,False,inf,154,2717,5.67,97,520,18.65,"(1.5, 9.5)",28,36,77.78,28,36,77.78,28,36,77.78
mgs_level.json,60.083,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,7,False,-10,0,False,inf,143,2983,4.79,131,681,19.24,"(7.0, 8.5)",36,36,100.0,35,36,97.22,36,36,100.0
mgs_level.json,60.101,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,7,False,-10,0,False,inf,143,2665,5.37,102,539,18.92,"(9.5, 8.5)",36,36,100.0,36,36,100.0,36,36,100.0
mgs_level.json,69.733,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,7,False,-10,0,False,inf,163,3162,5.15,108,665,16.24,"(13.0, 7.0)",31,36,86.11,31,36,86.11,31,36,86.11
mgs_level.json,79.356,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,7,False,-10,0,False,inf,178,3465,5.14,152,747,20.35,"(6.5, 5.0)",36,36,100.0,36,36,100.0,36,36,100.0
mgs_level.json,76.123,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,7,False,-10,0,False,inf,138,3565,3.87,109,719,15.16,"(4.0, 2.0)",36,36,100.0,36,36,100.0,36,36,100.0
mgs_level.json,62.637,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,7,False,-10,0,False,inf,100,2864,3.49,105,608,17.27,"(8.0, 2.0)",36,36,100.0,36,36,100.0,36,36,100.0
mgs_level.json,60.032,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,7,False,-10,0,False,inf,204,2676,7.62,91,565,16.11,"(13.0, 2.5)",36,36,100.0,36,36,100.0,36,36,100.0
