Level,Runtime (s),C (exploration constant),k (progressive widening constant),alpha (progressive widening exponent),delta (visible area distance),theta (shadow distance),beta (guard distance),gamma (kernel distance),tau (kernel decay rate),top_k (kernels scored),eta (depth bonus),lambda (rollout weight),phi (rollout depth),rollout_ratio,visible node penalty,visible edge penalty,brute_force_moves,max_kernel_moves,path_cache_hits,num_path_queries,path_cache_hit_ratio,tt_hits,tt_queries,tt_hit_ratio,player_start_pos,visits_timesteps_shadow,visits_total_timesteps,visits_shadow_pct,score_timesteps_shadow,score_total_timesteps,score_shadow_pct,back_timesteps_shadow,back_total_timesteps,back_shadow_pct
mgs_level.json,60.039,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,15,False,-100,0,False,inf,229,2578,8.88,95,454,20.93,"(18.6, 10.3)",35,36,97.22,35,36,97.22,35,36,97.22
mgs_level.json,60.014,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,15,False,-100,0,False,inf,274,2648,10.35,96,476,20.17,"(13.6, 10.6)",33,36,91.67,33,36,91.67,33,36,91.67
mgs_level.json,70.424,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,15,False,-100,0,False,inf,139,2471,5.63,71,450,15.78,"(1.5, 9.5)",35,36,97.22,35,36,97.22,34,36,94.44
mgs_level.json,158.672,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,15,False,-100,0,False,inf,469,7204,6.51,384,1603,23.96,"(7.0, 8.5)",35,36,97.22,30,30,100.0,35,36,97.22
mgs_level.json,65.68,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,15,False,-100,0,False,inf,141,2681,5.26,105,560,18.75,"(9.5, 8.5)",36,36,100.0,36,36,100.0,36,36,100.0
mgs_level.json,107.656,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,15,False,-100,0,False,inf,280,4073,6.87,180,819,21.98,"(13.0, 7.0)",29,36,80.56,11,16,68.75,29,36,80.56
mgs_level.json,153.507,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,15,False,-100,0,False,inf,352,6392,5.51,341,1412,24.15,"(6.5, 5.0)",36,36,100.0,36,36,100.0,36,36,100.0
mgs_level.json,107.939,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,15,False,-100,0,False,inf,236,4608,5.12,203,952,21.32,"(4.0, 2.0)",36,36,100.0,36,36,100.0,36,36,100.0
mgs_level.json,75.791,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,15,False,-100,0,False,inf,126,2915,4.32,96,571,16.81,"(8.0, 2.0)",34,36,94.44,32,32,100.0,34,36,94.44
mgs_level.json,71.521,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,15,False,-100,0,False,inf,142,2815,5.04,104,542,19.19,"(13.0, 2.5)",36,36,100.0,36,36,100.0,36,36,100.0
